Grado,Delta_Lin,Delta_Exp,Estabilidad_STD_Lin,Estabilidad_STD_Exp
Grado 1 (Lineal),0.34689145577598435,0.4133601627559482,0.2422637809345538,0.22666562809360974
Grado 2 (Cuadrático),0.48326054986143685,0.636761967668888,0.3475049391487175,0.35537895365876465
Grado 3 (Cúbico),0.5078812888217943,0.7406602425764914,0.37688052448046083,0.42052354893975424
